Sign_name,Latitude,Longitude,Image_Name_1,Image_Name_2,Actual_latitude,Actual_logitude,Actual_left_depth,Actual_right_depth,Predicted_depth
blue rectangle direction    ,52.05072317,5.649830317,5D3E6DG9_1_L_0_0.jpg ,5D3E6DGK_1_L_0_0.jpg,52.05075051,5.64974348,6.670958231,5.801855806,7.4136
blue circle arrow,52.0505888,5.649850118,5D3E6DGJ_1_R_0_0.jpg ,5D3E6DGU_1_R_0_0.jpg,52.05057835,5.64993741,6.081166736,6.669909764,6.4302
yellow rectangle,52.05196899,5.649559785,5D3E6DGZ_1_F_0_0.jpg ,5D3E6DH4_1_F_0_0.jpg,52.0519625,5.6494169,9.796938998,11.36265926,12.258
blue rectangle with number,52.06444765,5.618172349,5D3E6DV3_1_L_0_0.jpg ,5D3E6DZR_1_L_0_0.jpg,NaN,NaN,NaN,NaN,22.2867
blue rectangle with letters,52.05841692,5.622333733,5D3E6DUE_1_L_0_0.jpg ,5D3E6DUF_1_L_0_0.jpg,NaN,NaN,NaN,NaN,5.092
blue rectangle with letters,52.06400299,5.618502663,5D3E6DXR_1_R_0_0.jpg ,5D3E6DZD_1_R_0_0.jpg,NaN,NaN,NaN,NaN,12.4099
red-white circle,52.07469264,5.786949099,5D3E86W5_1_R_0_0.jpg ,5D3E86W7_1_R_0_0.jpg,52.07475774,5.78704034,9.55432234,14.09753408,19.9293
blue circle cycle,52.07473295,5.787081221,5D3E86VV_1_L_0_0.jpg ,5D3E86WV_1_L_0_0.jpg,52.07475199,5.78698015,7.224771034,11.42247957,21.1151
red-white triangle,52.07031004,5.790714667,5D3E86S6_1_F_0_0.jpg ,5D3E86SX_1_F_0_0.jpg,52.07039195,5.79070836,9.11817263,4.779518997,16.3096
blue cycle cricle,52.0747149,5.787013856,5D3E86VA_1_F_0_0.jpg ,5D3E86W5_1_F_0_0.jpg,52.074752,5.78697995,4.731608971,6.929120553,7.2535
red-white zigzag road triangle,52.07969183,5.781809626,5D3E86ZL_1_F_0_0.jpg ,5D3E86ZK_1_F_0_0.jpg,52.07983704,5.78170726,17.59680984,12.72553893,79.30742489
blue cycle circle,52.0746502,5.786931091,5D3E86W7_1_R_0_0.jpg ,5D3E86X2_1_R_0_0.jpg,52.07465958,5.78698582,3.883108703,8.856606997,8.269025458
blue rectangle tri-direction,52.05196899,5.649559785,5D3E6DGZ_1_L_0_0.jpg ,5D3E6DHA_1_L_0_0.jpg,52.05196215,5.64941695,9.796474031,10.62449676,11.6745
blue-white i icon rectangle ,52.05103566,5.649777467,5D3E6DHC_1_R_0_0.jpg,5D3E6DHF_1_R_0_0.jpg,52.05101765,5.64983258,4.267691662,4.377506039,4.4693
